number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_weight_decay,user_attrs_gap,user_attrs_gap_pct,user_attrs_total_time_s,user_attrs_train_f1,state
0,0.9532814238042269,2026-03-10 08:22:40.981460,2026-03-10 08:52:37.130871,0 days 00:29:56.149411,0.0,0.00021766241123453658,0.0001,-0.001284496000847457,-0.13492648593008383,1794.0218093395233,0.9519969278033794,COMPLETE
1,0.6447562446936861,2026-03-10 08:52:37.367232,2026-03-10 09:14:14.319428,0 days 00:21:36.952196,0.0,3.1261029103110603e-06,0.01,-0.05371405660580919,-9.088024118816865,1293.9051892757416,0.5910421880878769,COMPLETE
2,0.8581783800819414,2026-03-10 09:14:14.459775,2026-03-10 09:39:19.700992,0 days 00:25:05.241217,0.0,9.745399020374085e-06,0.0001,-0.0708364422762453,-8.996909585899216,1501.2080862522125,0.7873419378056961,COMPLETE
3,,2026-03-10 09:39:19.836554,2026-03-10 10:10:50.978871,0 days 00:31:31.142317,0.3,2.8856223618597364e-06,0.0001,0.1402718958782082,29.805193545884734,1887.6429719924927,0.47062903873535106,PRUNED
4,0.7348021215830274,2026-03-10 10:10:51.238254,2026-03-10 10:41:09.062240,0 days 00:30:17.823986,0.3,1.541552706014194e-05,0.001,-0.17897858625994423,-32.20061312371551,1813.141319513321,0.5558235353230832,COMPLETE
5,0.8865406006674083,2026-03-10 10:41:09.330978,2026-03-10 11:12:46.373853,0 days 00:31:37.042875,0.1,2.5330746540014465e-05,0.01,-0.0645413126702562,-7.851748001815764,1891.9425687789917,0.821999287997152,COMPLETE
6,0.9196428571428572,2026-03-10 11:12:46.557069,2026-03-10 11:34:22.166912,0 days 00:21:35.609843,0.0,0.00030768824743015387,0.001,0.04035650284690262,4.2038051824673195,1288.00111079216,0.9599993599897598,COMPLETE
7,,2026-03-10 11:34:22.286796,2026-03-10 12:01:59.746389,0 days 00:27:37.459593,0.3,9.180504074572432e-06,0.01,0.05402789598341495,10.119831563467187,1654.9050188064575,0.5338813758368948,PRUNED
8,0.6486131934032984,2026-03-10 12:01:59.915343,2026-03-10 12:29:37.183758,0 days 00:27:37.268415,0.1,3.4381725121151768e-06,0.01,-0.07983092799181946,-14.035410885054004,1652.477443933487,0.5687822654114789,COMPLETE
9,,2026-03-10 12:29:37.393142,2026-03-10 12:50:36.104209,0 days 00:20:58.711067,0.0,2.054599206680896e-06,0.0001,0.0,0.0,1255.7505116462708,0.3333333333333333,PRUNED
10,0.9399973332148095,2026-03-10 12:50:36.212824,2026-03-10 13:17:28.127841,0 days 00:26:51.915017,0.0,0.00041376293143363077,1e-05,0.0259916472148497,2.690677403306294,1607.9462296962738,0.9659889804296592,COMPLETE
11,0.9265850945494994,2026-03-10 13:17:28.346022,2026-03-10 13:48:25.896809,0 days 00:30:57.550787,0.0,0.0003323670162972566,1e-05,0.011412673370145732,1.216705813219314,1850.1532289981842,0.9379977679196452,COMPLETE
12,0.9332858921900018,2026-03-10 13:48:26.105574,2026-03-10 14:21:39.024834,0 days 00:33:12.919260,0.0,0.00010228629101506673,1e-05,0.008686022216570999,0.9221105304443237,1987.0517103672028,0.9419719144065728,COMPLETE
13,0.9398690481493029,2026-03-10 14:21:39.243817,2026-03-10 15:01:03.432340,0 days 00:39:24.188523,0.0,9.55170734818976e-05,1e-05,0.016130247839432843,1.687265660875853,2357.047040939331,0.9559992959887358,COMPLETE
14,0.90625,2026-03-10 15:01:03.654810,2026-03-10 15:23:23.958725,0 days 00:22:20.303915,0.0,0.00011284161011517312,1e-05,0.04374499949994992,4.604761027476569,1336.5272524356842,0.9499949994999499,COMPLETE
15,0.8866616294057514,2026-03-10 15:23:24.218785,2026-03-10 15:53:28.071341,0 days 00:30:03.852556,0.1,0.0004966492058037838,0.0001,-0.0927222354663575,-11.67875484881602,1798.9479730129242,0.793939393939394,COMPLETE
16,0.9399332591768632,2026-03-10 15:53:28.279137,2026-03-10 16:13:58.902723,0 days 00:20:30.623586,0.0,0.00018381156832414833,1e-05,0.016066036811872575,1.6805490212475924,1226.8642933368683,0.9559992959887358,COMPLETE
17,0.9131441806601042,2026-03-10 16:13:59.061635,2026-03-10 16:34:19.454347,0 days 00:20:20.392712,0.0,5.77519937494565e-05,0.0001,-0.2503287302952949,-37.767485679085425,1214.1989648342133,0.6628154503648093,COMPLETE
18,0.9132986527944511,2026-03-10 16:34:19.666922,2026-03-10 17:13:36.771618,0 days 00:39:17.104696,0.1,4.315421188579467e-05,0.001,-0.04032758716283502,-4.61957890135305,2349.98845410347,0.8729710656316161,COMPLETE
19,0.9130202060752041,2026-03-10 17:13:36.926769,2026-03-10 21:46:15.206533,0 days 04:32:38.279764,0.3,0.00022792885491664815,0.0001,-0.16386404474850103,-21.873149178711856,16322.6974132061,0.749156161326703,COMPLETE
